Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=1, J=4
Round [159/200] | LR: 0.00001 | Tr Loss: 3.9642 | Te Loss: 4.6314 | Te Acc: 3.53% | Best: 16.97%
Round [160/200] | LR: 0.00001 | Tr Loss: 3.9745 | Te Loss: 4.6681 | Te Acc: 3.41% | Best: 16.97%
Round [161/200] | LR: 0.00000 | Tr Loss: 4.2762 | Te Loss: 4.6699 | Te Acc: 3.43% | Best: 16.97%
Round [162/200] | LR: 0.00000 | Tr Loss: 4.8521 | Te Loss: 4.6589 | Te Acc: 3.51% | Best: 16.97%
Round [163/200] | LR: 0.00000 | Tr Loss: 4.6728 | Te Loss: 4.6563 | Te Acc: 3.45% | Best: 16.97%
Round [164/200] | LR: 0.00000 | Tr Loss: 4.5229 | Te Loss: 4.6539 | Te Acc: 3.58% | Best: 16.97%
Round [165/200] | LR: 0.00000 | Tr Loss: 4.9691 | Te Loss: 4.6468 | Te Acc: 3.55% | Best: 16.97%
Round [166/200] | LR: 0.00000 | Tr Loss: 5.0284 | Te Loss: 4.6447 | Te Acc: 3.54% | Best: 16.97%
Round [167/200] | LR: 0.00000 | Tr Loss: 5.0155 | Te Loss: 4.6379 | Te Acc: 3.55% | Best: 16.97%
Round [168/200] | LR: 0.00000 | Tr Loss: 4.8603 | Te Loss: 4.6340 | Te Acc: 3.65% | Best: 16.97%
Round [169/200] | LR: 0.00000 | Tr Loss: 5.1439 | Te Loss: 4.6290 | Te Acc: 3.66% | Best: 16.97%
Round [170/200] | LR: 0.00000 | Tr Loss: 4.8829 | Te Loss: 4.6265 | Te Acc: 3.69% | Best: 16.97%
Round [171/200] | LR: 0.00000 | Tr Loss: 4.8017 | Te Loss: 4.6228 | Te Acc: 3.71% | Best: 16.97%
Round [172/200] | LR: 0.00000 | Tr Loss: 5.0500 | Te Loss: 4.6188 | Te Acc: 3.70% | Best: 16.97%
Round [173/200] | LR: 0.00000 | Tr Loss: 5.0938 | Te Loss: 4.6144 | Te Acc: 3.77% | Best: 16.97%
Round [174/200] | LR: 0.00000 | Tr Loss: 4.7575 | Te Loss: 4.6129 | Te Acc: 3.71% | Best: 16.97%
Round [175/200] | LR: 0.00000 | Tr Loss: 4.8236 | Te Loss: 4.6069 | Te Acc: 3.72% | Best: 16.97%
Round [176/200] | LR: 0.00000 | Tr Loss: 4.9687 | Te Loss: 4.6041 | Te Acc: 3.77% | Best: 16.97%
Round [177/200] | LR: 0.00000 | Tr Loss: 4.9310 | Te Loss: 4.5954 | Te Acc: 3.73% | Best: 16.97%
Round [178/200] | LR: 0.00000 | Tr Loss: 5.0521 | Te Loss: 4.5949 | Te Acc: 3.70% | Best: 16.97%
Round [179/200] | LR: 0.00000 | Tr Loss: 4.5724 | Te Loss: 4.5956 | Te Acc: 3.63% | Best: 16.97%
Round [180/200] | LR: 0.00000 | Tr Loss: 5.1460 | Te Loss: 4.5892 | Te Acc: 3.74% | Best: 16.97%
Round [181/200] | LR: 0.00000 | Tr Loss: 5.2063 | Te Loss: 4.5842 | Te Acc: 3.76% | Best: 16.97%
Round [182/200] | LR: 0.00000 | Tr Loss: 5.2863 | Te Loss: 4.5771 | Te Acc: 3.74% | Best: 16.97%
Round [183/200] | LR: 0.00000 | Tr Loss: 4.8165 | Te Loss: 4.5791 | Te Acc: 3.77% | Best: 16.97%
Round [184/200] | LR: 0.00000 | Tr Loss: 4.6044 | Te Loss: 4.5774 | Te Acc: 3.80% | Best: 16.97%
Round [185/200] | LR: 0.00000 | Tr Loss: 4.8936 | Te Loss: 4.5737 | Te Acc: 3.83% | Best: 16.97%
Round [186/200] | LR: 0.00000 | Tr Loss: 4.8459 | Te Loss: 4.5732 | Te Acc: 3.75% | Best: 16.97%
Round [187/200] | LR: 0.00000 | Tr Loss: 4.8563 | Te Loss: 4.5728 | Te Acc: 3.81% | Best: 16.97%
Round [188/200] | LR: 0.00000 | Tr Loss: 4.9006 | Te Loss: 4.5768 | Te Acc: 3.77% | Best: 16.97%
Round [189/200] | LR: 0.00000 | Tr Loss: 4.5066 | Te Loss: 4.5786 | Te Acc: 3.73% | Best: 16.97%
Round [190/200] | LR: 0.00000 | Tr Loss: 4.6579 | Te Loss: 4.5754 | Te Acc: 3.78% | Best: 16.97%
Round [191/200] | LR: 0.00000 | Tr Loss: 4.9548 | Te Loss: 4.5714 | Te Acc: 3.75% | Best: 16.97%
Round [192/200] | LR: 0.00000 | Tr Loss: 4.8057 | Te Loss: 4.5635 | Te Acc: 3.80% | Best: 16.97%
Round [193/200] | LR: 0.00000 | Tr Loss: 4.7299 | Te Loss: 4.5640 | Te Acc: 3.87% | Best: 16.97%
Round [194/200] | LR: 0.00000 | Tr Loss: 4.6236 | Te Loss: 4.5659 | Te Acc: 3.82% | Best: 16.97%
Round [195/200] | LR: 0.00000 | Tr Loss: 4.5189 | Te Loss: 4.5659 | Te Acc: 3.82% | Best: 16.97%
Round [196/200] | LR: 0.00000 | Tr Loss: 4.5123 | Te Loss: 4.5660 | Te Acc: 3.84% | Best: 16.97%
Round [197/200] | LR: 0.00000 | Tr Loss: 4.9132 | Te Loss: 4.5634 | Te Acc: 3.84% | Best: 16.97%
Round [198/200] | LR: 0.00000 | Tr Loss: 4.7592 | Te Loss: 4.5628 | Te Acc: 3.91% | Best: 16.97%
Round [199/200] | LR: 0.00000 | Tr Loss: 4.7793 | Te Loss: 4.5588 | Te Acc: 3.91% | Best: 16.97%
