Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=1, J=4
Round [141/200] | LR: 0.00010 | Tr Loss: 3.3956 | Te Loss: 4.6620 | Te Acc: 1.63% | Best: 17.12%
Round [142/200] | LR: 0.00010 | Tr Loss: 3.3059 | Te Loss: 4.6871 | Te Acc: 1.59% | Best: 17.12%
Round [143/200] | LR: 0.00010 | Tr Loss: 3.7189 | Te Loss: 4.6596 | Te Acc: 1.85% | Best: 17.12%
Round [144/200] | LR: 0.00010 | Tr Loss: 3.5218 | Te Loss: 4.6428 | Te Acc: 1.98% | Best: 17.12%
Round [145/200] | LR: 0.00010 | Tr Loss: 3.6354 | Te Loss: 4.6094 | Te Acc: 2.10% | Best: 17.12%
Round [146/200] | LR: 0.00010 | Tr Loss: 3.1475 | Te Loss: 4.6109 | Te Acc: 1.73% | Best: 17.12%
Round [147/200] | LR: 0.00010 | Tr Loss: 3.2496 | Te Loss: 4.6235 | Te Acc: 1.63% | Best: 17.12%
Round [148/200] | LR: 0.00010 | Tr Loss: 3.5495 | Te Loss: 4.6113 | Te Acc: 1.88% | Best: 17.12%
Round [149/200] | LR: 0.00010 | Tr Loss: 3.5028 | Te Loss: 4.6402 | Te Acc: 1.99% | Best: 17.12%
Round [150/200] | LR: 0.00010 | Tr Loss: 3.5846 | Te Loss: 4.6142 | Te Acc: 2.28% | Best: 17.12%
Round [151/200] | LR: 0.00010 | Tr Loss: 3.2811 | Te Loss: 4.6182 | Te Acc: 2.53% | Best: 17.12%
Round [152/200] | LR: 0.00010 | Tr Loss: 3.3754 | Te Loss: 4.6411 | Te Acc: 2.26% | Best: 17.12%
Round [153/200] | LR: 0.00010 | Tr Loss: 3.2895 | Te Loss: 4.6200 | Te Acc: 2.47% | Best: 17.12%
Round [154/200] | LR: 0.00010 | Tr Loss: 3.3571 | Te Loss: 4.6055 | Te Acc: 2.65% | Best: 17.12%
Round [155/200] | LR: 0.00010 | Tr Loss: 3.4486 | Te Loss: 4.5994 | Te Acc: 2.65% | Best: 17.12%
Round [156/200] | LR: 0.00010 | Tr Loss: 3.6385 | Te Loss: 4.5862 | Te Acc: 2.78% | Best: 17.12%
Round [157/200] | LR: 0.00010 | Tr Loss: 3.2750 | Te Loss: 4.6017 | Te Acc: 2.35% | Best: 17.12%
Round [158/200] | LR: 0.00010 | Tr Loss: 3.4712 | Te Loss: 4.5930 | Te Acc: 2.39% | Best: 17.12%
Round [159/200] | LR: 0.00010 | Tr Loss: 3.2164 | Te Loss: 4.6045 | Te Acc: 2.67% | Best: 17.12%
Round [160/200] | LR: 0.00010 | Tr Loss: 3.4686 | Te Loss: 4.6013 | Te Acc: 2.67% | Best: 17.12%
Round [161/200] | LR: 0.00001 | Tr Loss: 4.5438 | Te Loss: 4.6006 | Te Acc: 2.67% | Best: 17.12%
Round [162/200] | LR: 0.00001 | Tr Loss: 4.6768 | Te Loss: 4.5967 | Te Acc: 2.75% | Best: 17.12%
Round [163/200] | LR: 0.00001 | Tr Loss: 4.7700 | Te Loss: 4.5949 | Te Acc: 2.62% | Best: 17.12%
Round [164/200] | LR: 0.00001 | Tr Loss: 4.7116 | Te Loss: 4.5901 | Te Acc: 2.67% | Best: 17.12%
Round [165/200] | LR: 0.00001 | Tr Loss: 4.5702 | Te Loss: 4.5871 | Te Acc: 2.66% | Best: 17.12%
Round [166/200] | LR: 0.00001 | Tr Loss: 4.5718 | Te Loss: 4.5844 | Te Acc: 2.65% | Best: 17.12%
Round [167/200] | LR: 0.00001 | Tr Loss: 4.5152 | Te Loss: 4.5841 | Te Acc: 2.70% | Best: 17.12%
Round [168/200] | LR: 0.00001 | Tr Loss: 4.3838 | Te Loss: 4.5837 | Te Acc: 2.62% | Best: 17.12%
Round [169/200] | LR: 0.00001 | Tr Loss: 4.7036 | Te Loss: 4.5804 | Te Acc: 2.53% | Best: 17.12%
Round [170/200] | LR: 0.00001 | Tr Loss: 4.8039 | Te Loss: 4.5785 | Te Acc: 2.51% | Best: 17.12%
Round [171/200] | LR: 0.00001 | Tr Loss: 4.7371 | Te Loss: 4.5768 | Te Acc: 2.55% | Best: 17.12%
Round [172/200] | LR: 0.00001 | Tr Loss: 4.6606 | Te Loss: 4.5747 | Te Acc: 2.53% | Best: 17.12%
Round [173/200] | LR: 0.00001 | Tr Loss: 4.5745 | Te Loss: 4.5740 | Te Acc: 2.55% | Best: 17.12%
Round [174/200] | LR: 0.00001 | Tr Loss: 4.8055 | Te Loss: 4.5727 | Te Acc: 2.56% | Best: 17.12%
Round [175/200] | LR: 0.00001 | Tr Loss: 4.4416 | Te Loss: 4.5727 | Te Acc: 2.71% | Best: 17.12%
Round [176/200] | LR: 0.00001 | Tr Loss: 4.9586 | Te Loss: 4.5693 | Te Acc: 2.60% | Best: 17.12%
Round [177/200] | LR: 0.00001 | Tr Loss: 4.5861 | Te Loss: 4.5693 | Te Acc: 2.62% | Best: 17.12%
Round [178/200] | LR: 0.00001 | Tr Loss: 4.5025 | Te Loss: 4.5686 | Te Acc: 2.51% | Best: 17.12%
Round [179/200] | LR: 0.00001 | Tr Loss: 4.5353 | Te Loss: 4.5668 | Te Acc: 2.51% | Best: 17.12%
Round [180/200] | LR: 0.00001 | Tr Loss: 4.8099 | Te Loss: 4.5648 | Te Acc: 2.49% | Best: 17.12%
Round [181/200] | LR: 0.00001 | Tr Loss: 4.5613 | Te Loss: 4.5633 | Te Acc: 2.53% | Best: 17.12%
Round [182/200] | LR: 0.00001 | Tr Loss: 4.5346 | Te Loss: 4.5620 | Te Acc: 2.56% | Best: 17.12%
Round [183/200] | LR: 0.00001 | Tr Loss: 4.4900 | Te Loss: 4.5620 | Te Acc: 2.56% | Best: 17.12%
Round [184/200] | LR: 0.00001 | Tr Loss: 4.5132 | Te Loss: 4.5611 | Te Acc: 2.53% | Best: 17.12%
Round [185/200] | LR: 0.00001 | Tr Loss: 4.4425 | Te Loss: 4.5611 | Te Acc: 2.50% | Best: 17.12%
Round [186/200] | LR: 0.00001 | Tr Loss: 4.6820 | Te Loss: 4.5609 | Te Acc: 2.52% | Best: 17.12%
Round [187/200] | LR: 0.00001 | Tr Loss: 4.4547 | Te Loss: 4.5613 | Te Acc: 2.62% | Best: 17.12%
Round [188/200] | LR: 0.00001 | Tr Loss: 4.3349 | Te Loss: 4.5606 | Te Acc: 2.59% | Best: 17.12%
Round [189/200] | LR: 0.00001 | Tr Loss: 4.8441 | Te Loss: 4.5573 | Te Acc: 2.66% | Best: 17.12%
Round [190/200] | LR: 0.00001 | Tr Loss: 4.7245 | Te Loss: 4.5559 | Te Acc: 2.68% | Best: 17.12%
Round [191/200] | LR: 0.00001 | Tr Loss: 4.4351 | Te Loss: 4.5566 | Te Acc: 2.73% | Best: 17.12%
Round [192/200] | LR: 0.00001 | Tr Loss: 4.4790 | Te Loss: 4.5558 | Te Acc: 2.66% | Best: 17.12%
Round [193/200] | LR: 0.00001 | Tr Loss: 4.5836 | Te Loss: 4.5550 | Te Acc: 2.61% | Best: 17.12%
Round [194/200] | LR: 0.00001 | Tr Loss: 4.6772 | Te Loss: 4.5536 | Te Acc: 2.67% | Best: 17.12%
Round [195/200] | LR: 0.00001 | Tr Loss: 4.4828 | Te Loss: 4.5541 | Te Acc: 2.65% | Best: 17.12%
Round [196/200] | LR: 0.00001 | Tr Loss: 4.7548 | Te Loss: 4.5521 | Te Acc: 2.60% | Best: 17.12%
Round [197/200] | LR: 0.00001 | Tr Loss: 4.5100 | Te Loss: 4.5508 | Te Acc: 2.59% | Best: 17.12%
Round [198/200] | LR: 0.00001 | Tr Loss: 4.4856 | Te Loss: 4.5493 | Te Acc: 2.57% | Best: 17.12%
Round [199/200] | LR: 0.00001 | Tr Loss: 4.7294 | Te Loss: 4.5471 | Te Acc: 2.62% | Best: 17.12%
